index,smiles_solvent,smiles_solute,DGsolv,comment,can_smiles_solvent,can_smiles_solute,predicted,total_atoms_solute,total_atoms_solvent,shap_values
669,CCCCO,Cc1cccc(O)c1,0,logP_setA,CCCCO,Cc1cccc(O)c1,-8.809126,8,5,"[ 0.34857209  0.01981287  1.11280348  0.09193391 -0.44519558 -0.34506073
  0.34890233  0.69878623  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
670,CCCCCCCCO,Cc1cccc(O)c1,0,logP_setA,CCCCCCCCO,Cc1cccc(O)c1,-8.376611,8,9,"[ 0.38275589 -0.27897243  1.26328646 -0.060393   -0.22095169 -0.58637766
  0.56688172  1.19683888  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
671,O,Cc1cccc(O)c1,0,logP_setA,O,Cc1cccc(O)c1,-5.714657,8,1,"[ 0.4691654   0.99277034  2.15630504  1.39418625 -1.03970018  0.60953731
  0.12631965  0.21643891  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
672,CCCCCC,Oc1ccccc1O,0,logP_setA,CCCCCC,Oc1ccccc1O,-6.0466423,8,6,"[ 1.19892181  1.0684077   1.70855583 -1.67936412 -1.6793652   1.70855535
  1.06840526  1.19892176  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
673,Cc1ccccc1,Oc1ccccc1O,0,logP_setA,Cc1ccccc1,Oc1ccccc1O,-8.022332,8,7,"[0.07441242 0.18882141 0.38841883 0.65702182 0.65702205 0.38841873
 0.18882185 0.07441239 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]"
674,Clc1ccccc1,Oc1ccccc1O,0,logP_setA,Clc1ccccc1,Oc1ccccc1O,-7.859679,8,7,"[0.32093667 0.46632863 0.37443573 0.22829963 0.22829983 0.37443585
 0.46632763 0.32093666 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]"
675,C(Cl)Cl,Oc1ccccc1O,0,logP_setA,ClCCl,Oc1ccccc1O,-8.73091,8,3,"[ 0.52648036  0.84941779 -0.05712356 -0.36439078 -0.36439084 -0.05712349
  0.84941998  0.52648091  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
676,CC(C)(C)OC,Oc1ccccc1O,0,logP_setA,COC(C)(C)C,Oc1ccccc1O,-10.868495,8,6,"[-0.11197958 -0.48850596  0.1757023   0.3103753   0.31037527  0.17570185
 -0.48850549 -0.11198019  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
677,CC(OC(C)C)=O,Oc1ccccc1O,0,logP_setA,CC(=O)OC(C)C,Oc1ccccc1O,-11.660848,8,7,"[-0.01002558 -0.15303704 -0.05501417 -0.2925067  -0.29250717 -0.05501414
 -0.15303734 -0.01002539  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
678,c1ccc(cc1)CO,Oc1ccccc1O,0,logP_setA,OCc1ccccc1,Oc1ccccc1O,-10.752776,8,8,"[-0.07832695  0.03562479  0.05993248 -0.0737776  -0.07377759  0.05993302
  0.03562472 -0.07832729  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
679,C1CCCCC1O,Oc1ccccc1O,0,logP_setA,OC1CCCCC1,Oc1ccccc1O,-11.510078,8,7,"[-0.29531084 -0.48427044 -0.06510289  0.40948533  0.40948506 -0.06510271
 -0.48427087 -0.29531058  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
680,CCCCO,Oc1ccccc1O,0,logP_setA,CCCCO,Oc1ccccc1O,-11.492219,8,5,"[-0.20122661 -0.23280641 -0.02620936  0.03397354  0.03397352 -0.02620949
 -0.2328059  -0.20122714  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
681,CCCCCCCCO,Oc1ccccc1O,0,logP_setA,CCCCCCCCO,Oc1ccccc1O,-10.6802225,8,9,"[-0.16355635  0.20450594  0.24137628 -0.30259687 -0.30259717  0.24137649
  0.20450656 -0.16355594  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
682,O,Oc1ccccc1O,0,logP_setA,O,Oc1ccccc1O,-9.83777,8,1,"[ 0.13385498 -0.46244559  0.25753581  0.47200668  0.47200676  0.25753664
 -0.46244354  0.13385641  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
683,CCCCCC,Cc1ccc(O)c(O)c1,0,logP_setA,CCCCCC,Cc1ccc(O)c(O)c1,-6.902287,9,6,"[-0.90507356  1.2564353   1.03014814  5.6535532  -1.40552518 -0.08163459
 -3.1347954   0.44943402  0.87485212  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
