DGsolv,comment,can_smiles_solvent,can_smiles_solute
0,for_solvent_tsne,O=C(O)C(Cl)Cl,O
0,for_solvent_tsne,O=C1CCO1,O
0,for_solvent_tsne,OCCSCCO,O
0,for_solvent_tsne,CC1=CCC2CC1C2(C)C,O
0,for_solvent_tsne,CCCCOC=O,O
0,for_solvent_tsne,CCCCCCCCSCC,O
0,for_solvent_tsne,Cc1cccc(C=O)c1,O
0,for_solvent_tsne,CCCCCCCC(=O)O,O
0,for_solvent_tsne,FC(F)(Cl)C(F)(F)C(F)(F)Cl,O
0,for_solvent_tsne,C=CCSCC=C,O
0,for_solvent_tsne,Oc1ccccc1Cl,O
0,for_solvent_tsne,CCCCOC,O
0,for_solvent_tsne,CCCCCCCC(=O)OC,O
0,for_solvent_tsne,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,O
0,for_solvent_tsne,c1ccc(Oc2ccccc2)cc1,O
0,for_solvent_tsne,CCCCCC(=O)O,O
0,for_solvent_tsne,O=CC1CC=CCC1,O
0,for_solvent_tsne,FCC(F)(F)C(F)F,O
0,for_solvent_tsne,CCNC(C)=O,O
0,for_solvent_tsne,C=C(C)C(=O)OCCC,O
0,for_solvent_tsne,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O
0,for_solvent_tsne,CCc1cccc(CC)c1N,O
0,for_solvent_tsne,CCOC(=O)C(C)O,O
0,for_solvent_tsne,CCCCCCC,O
0,for_solvent_tsne,C/C=C/CCC,O
0,for_solvent_tsne,CCc1ccccc1C(C)C,O
0,for_solvent_tsne,C#N,O
0,for_solvent_tsne,CCCCCCc1cccc2ccccc12,O
0,for_solvent_tsne,CCOC(=O)OCC,O
0,for_solvent_tsne,C/C=C/C,O
0,for_solvent_tsne,COB(OC)OC,O
0,for_solvent_tsne,c1ccc(C2CCCCC2)cc1,O
0,for_solvent_tsne,C=CC(=O)OCC,O
0,for_solvent_tsne,C=CC(C)(C)C,O
0,for_solvent_tsne,N#Cc1ccccc1,O
0,for_solvent_tsne,O=C(C(F)(F)F)C(F)(F)F,O
0,for_solvent_tsne,CCCCCCCCBr,O
0,for_solvent_tsne,C=CC(C)C,O
0,for_solvent_tsne,CCCCOC(C)C,O
0,for_solvent_tsne,O=CCCCC=O,O
0,for_solvent_tsne,C=CCO,O
0,for_solvent_tsne,CC(C)COC(C)C,O
0,for_solvent_tsne,COC(=O)C(C)O,O
0,for_solvent_tsne,CC1CCCC(C)(C)C1,O
0,for_solvent_tsne,Cc1ccc(C(C)O)cc1,O
0,for_solvent_tsne,COc1ccccc1,O
0,for_solvent_tsne,CCOC(=O)CCl,O
0,for_solvent_tsne,NC1CCCCC1,O
0,for_solvent_tsne,CCCOC(=O)C(C)C,O
0,for_solvent_tsne,C[N+](=O)[O-],O
0,for_solvent_tsne,FCCF,O
0,for_solvent_tsne,C=CC(=O)OCCOC(=O)C=C,O
0,for_solvent_tsne,Cc1cc2ccccc2o1,O
0,for_solvent_tsne,CCCCCCCCCCC1CCCCC1,O
0,for_solvent_tsne,CCC/C=C/CCC,O
0,for_solvent_tsne,CCCCCCCCCC(C)C(C)C,O
0,for_solvent_tsne,C=CCOC(=O)/C=C\C(=O)OCC=C,O
0,for_solvent_tsne,C=C(C)C,O
0,for_solvent_tsne,CC(O)CCO,O
0,for_solvent_tsne,Cc1cccc(C)n1,O
0,for_solvent_tsne,CN(C)C,O
0,for_solvent_tsne,CCOC(=O)CC(C)C,O
0,for_solvent_tsne,OC1CCCC1,O
0,for_solvent_tsne,CCCCC(CC)CO,O
0,for_solvent_tsne,CC1C=CCC1,O
0,for_solvent_tsne,C=CC(=O)OCCC,O
0,for_solvent_tsne,C/C=C/CCCCC,O
0,for_solvent_tsne,CCC(O)OCC(C)OC(O)CC,O
0,for_solvent_tsne,ClCl,O
0,for_solvent_tsne,Sc1ccccc1,O
0,for_solvent_tsne,CCCCC(C=O)CC,O
0,for_solvent_tsne,CC1CCC(C)(C)C1,O
0,for_solvent_tsne,CC#N,O
0,for_solvent_tsne,CCC(C)C(C)C,O
0,for_solvent_tsne,CC(C)(C)Cl,O
0,for_solvent_tsne,c1ccc(Cc2ccccc2)cc1,O
0,for_solvent_tsne,FC(F)C(F)C(F)(F)F,O
0,for_solvent_tsne,O=C=O,O
0,for_solvent_tsne,CC(OC=O)c1ccccc1,O
